Player,PTS,STL,BLK,AST,TRB,gID
Magic Johnson,15,7,0,10,10,197910280LAL
Magic Johnson,24,3,0,12,16,197911110LAL
Larry Bird,23,3,2,10,19,197911140BOS
George McGinnis,20,3,0,10,11,197911160DEN
Magic Johnson,20,6,0,11,11,197911160DEN
Reggie Theus,28,1,0,10,17,197911170CHI
Julius Erving,26,NA,5,10,10,197911200SAS
Kareem Abdul-Jabbar,25,0,11,3,15,197911250LAL
George McGinnis,12,4,1,12,16,197911270WSB
Foots Walker,15,5,0,11,10,197912020CLE
Sam Lacey,18,3,1,11,21,197912260KCK
Wes Unseld,12,NA,0,11,12,197912270WSB
Micheal Ray Richardson,18,4,0,15,12,197912290NYK
Micheal Ray Richardson,18,7,1,14,11,198001110MIL
Kareem Abdul-Jabbar,28,1,10,2,15,198001180LAL
Micheal Ray Richardson,22,3,0,18,10,198001230PHO
Mickey Johnson,37,1,1,10,11,198001260CLE
Magic Johnson,19,3,0,11,10,198002050NYK
Magic Johnson,19,0,0,13,13,198002080NJN
Micheal Ray Richardson,16,5,0,14,13,198002230NYK
Marques Johnson,25,1,2,11,11,198002270PHO
Magic Johnson,21,3,2,13,13,198003160LAL
Magic Johnson,16,3,0,10,12,198003300GSW
Magic Johnson,13,2,0,16,12,198004080LAL
Magic Johnson,25,6,0,11,13,198004090LAL
Magic Johnson,14,3,0,10,15,198005140LAL
Micheal Ray Richardson,20,7,0,13,10,198010140NYK
Magic Johnson,24,6,1,11,13,198010260LAL
Magic Johnson,20,4,1,12,10,198011040LAL
Marques Johnson,20,1,1,10,13,198011160MIL
Mickey Johnson,18,2,1,11,10,198012170NJN
Larry Bird,27,5,2,10,10,198012300PHO
Micheal Ray Richardson,18,5,0,11,16,198101160DAL
Purvis Short,19,0,0,12,10,198102220GSW
Larry Bird,28,1,0,10,10,198103060IND
Magic Johnson,21,4,1,10,16,198103100LAL
Micheal Ray Richardson,27,2,0,19,15,198103210NYK
Micheal Ray Richardson,26,6,2,11,12,198103240NYK
Magic Johnson,41,1,0,11,12,198103280UTA
Magic Johnson,33,6,1,17,15,198103290LAL
Larry Bird,24,NA,2,10,17,198104100CHI
Sam Lacey,12,0,2,10,11,198104120KCK
Magic Johnson,27,3,1,12,14,198110300LAL
Magic Johnson,10,0,0,10,12,198111030POR
Magic Johnson,20,3,1,16,10,198111200LAL
Magic Johnson,12,3,1,11,11,198111290LAL
Gus Williams,29,3,1,10,10,198112080HOU
Magic Johnson,23,4,0,10,12,198112110LAL
Edgar Jones,25,2,10,1,13,198112170DET
Micheal Ray Richardson,26,NA,0,11,11,198201120UTA
Larry Bird,28,3,3,15,19,198201130BOS
Magic Johnson,22,2,1,14,16,198201190DEN
Micheal Ray Richardson,14,NA,2,12,11,198201210NYK
Kareem Abdul-Jabbar,19,NA,10,0,10,198201220LAL
Adrian Dantley,39,NA,0,11,10,198201260UTA
Magic Johnson,17,1,0,10,14,198202020GSW
Rich Kelley,16,0,1,11,12,198202040SAS
Micheal Ray Richardson,14,4,0,15,14,198202070POR
Larry Bird,22,3,0,14,12,198202210SEA
Micheal Ray Richardson,15,7,0,12,12,198202230NYK
Magic Johnson,18,NA,0,10,10,198202260LAL
Rich Kelley,16,4,1,10,11,198203030PHO
Alex English,22,0,3,15,11,198203050DEN
Alex English,32,1,3,10,13,198203160DEN
Johnny Moore,11,6,0,13,10,198203240DEN
Alex English,33,1,1,12,13,198203300DEN
Magic Johnson,23,3,0,10,11,198204060HOU
Magic Johnson,20,NA,1,10,11,198204140LAL
Magic Johnson,15,2,0,12,15,198204180PHO
Magic Johnson,23,1,0,10,10,198204270LAL
Magic Johnson,19,5,0,12,12,198204280LAL
Magic Johnson,15,3,0,12,11,198205020PHO
Larry Bird,24,4,1,10,15,198205090BOS
Larry Bird,15,1,1,11,13,198205150PHI
Magic Johnson,13,4,2,13,13,198206080LAL
Magic Johnson,22,1,1,10,10,198210290LAL
Magic Johnson,17,0,1,13,15,198211030DEN
Magic Johnson,14,0,0,10,10,198211070LAL
Magic Johnson,10,2,0,12,10,198211210LAL
Tree Rollins,10,NA,11,2,15,198211270ATL
Magic Johnson,19,NA,0,13,12,198212100UTA
Alex English,33,5,1,10,10,198212150MIL
Tree Rollins,14,3,10,0,15,198212210CHI
Danny Schayes,13,0,0,11,12,198212220LAL
Ray Williams,25,2,1,10,10,198212260KCK
Larry Bird,14,NA,0,11,15,198301010UTA
Magic Johnson,23,2,0,20,12,198301050PHI
Larry Bird,25,1,1,10,12,198301070SAS
Marques Johnson,22,2,0,10,10,198301120PHI
Mark Aguirre,30,1,0,16,11,198301140DAL
Mark Eaton,12,NA,12,6,14,198302050DEN
Isiah Thomas,46,4,0,11,10,198302080SAS
Magic Johnson,26,3,0,11,10,198302080SEA
Magic Johnson,20,2,1,10,13,198302230LAL
Mickey Johnson,21,0,1,10,11,198303100HOU
Michael Brooks,10,2,1,10,11,198303110SDC
Magic Johnson,18,3,1,14,12,198303120LAL
Magic Johnson,23,4,0,11,15,198303220LAL
Magic Johnson,22,5,0,11,12,198303250LAL
Alvan Adams,30,1,2,10,12,198303290PHO
Magic Johnson,22,0,1,12,16,198303310DEN
Mychal Thompson,24,0,1,11,12,198304050POR
Magic Johnson,11,3,1,13,16,198304050POR
Dan Roundfield,11,1,3,11,10,198304080ATL
Ray Williams,14,NA,0,10,11,198304080KCK
Magic Johnson,36,3,3,14,13,198304080LAL
Magic Johnson,13,2,2,13,11,198305130SAS
Magic Johnson,16,2,1,19,11,198305180LAL
Lewis Lloyd,28,3,0,10,11,198310290HOU
Magic Johnson,12,4,1,13,11,198311020SDC
Tree Rollins,15,3,10,2,11,198311040ATL
Magic Johnson,29,1,0,14,12,198311080DEN
Magic Johnson,30,3,0,16,13,198311130LAL
Larry Bird,28,1,1,10,11,198311150DEN
Larry Bird,16,1,0,11,11,198311220NYK
Larry Bird,23,4,0,13,14,198311300BOS
Marques Johnson,21,2,1,11,10,198311300MIL
Larry Bird,22,0,2,13,11,198312040BOS
Ralph Sampson,28,0,13,5,18,198312090CHI
Sidney Moncrief,16,1,0,10,10,198312230CLE
Ray Williams,12,2,1,10,10,198401060DET
Magic Johnson,19,5,2,12,10,198401060LAL
Mychal Thompson,24,0,4,11,16,198401060POR
Magic Johnson,12,2,0,12,12,198401210SAS
Magic Johnson,10,1,2,17,10,198402010DEN
John Lucas,18,3,0,16,10,198402050SAS
Larry Bird,17,3,0,12,14,198402100BOS
Sidney Moncrief,27,0,1,10,10,198402100MIL
Jeff Ruland,18,2,0,10,14,198402100WSB
Magic Johnson,13,2,1,13,10,198402100WSB
Magic Johnson,23,1,0,15,10,198402120LAL
Jack Sikma,21,0,1,10,16,198402140GSW
Magic Johnson,33,2,2,16,13,198402170LAL
Larry Bird,30,3,1,13,13,198402170SEA
Magic Johnson,22,0,0,11,13,198402220SEA
Alex English,22,1,0,10,10,198403210DEN
Magic Johnson,24,2,1,19,12,198403210KCK
Magic Johnson,14,4,1,10,11,198403290LAL
Jeff Ruland,18,2,2,12,13,198404030WSB
Larry Bird,30,1,1,10,10,198404080BOS
Elvin Hayes,16,0,1,11,17,198404130HOU
Jeff Ruland,17,0,0,10,13,198404170BOS
Rickey Green,15,2,0,12,10,198404220DEN
Magic Johnson,17,2,1,13,10,198404220KCK
Magic Johnson,14,2,1,16,11,198405060DAL
Larry Bird,39,3,0,10,12,198405130BOS
Magic Johnson,16,1,1,13,11,198405250PHO
Magic Johnson,14,1,1,21,11,198406030LAL
Magic Johnson,20,2,0,17,11,198406060LAL
Magic Johnson,16,3,0,10,12,198410300LAL
Magic Johnson,10,3,0,14,10,198411010SEA
